source,target,edge_type
configs/clustering_input_projection_corrected_v2.yaml,outputs/clustering_input_projection_v2/canary/contract_status.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/development_robustness_split_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/development_robustness_split_v1/full_research_669/outer_development_allowed_dates.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/factor_rolling_stability_v2/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/factor_rolling_stability_v2/current/factor_stability_board.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/full_research_daily_ic_v2/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/full_research_daily_ic_v2/current/daily_rank_ic.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/full_research_feature_matrix_v4/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/full_research_feature_matrix_v4/current/partition_status.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/purged_walk_forward_v1/full_research_669/date_assignments.csv,yaml_path
configs/data_source_audit_v2.yaml,outputs/full_research_feature_matrix_v4/current/artifact_manifest.json,yaml_path
configs/data_source_audit_v2.yaml,outputs/instrument_state_v1/current/artifact_manifest.json,yaml_path
configs/data_source_audit_v2.yaml,outputs/market_cache_v2/current/artifact_manifest.json,yaml_path
configs/data_source_audit_v2.yaml,outputs/market_cache_v2/current/cache_artifacts.csv,yaml_path
configs/data_source_audit_v2.yaml,outputs/point_in_time_universe_v2/full_research/artifact_manifest.json,yaml_path
configs/data_source_audit_v2.yaml,outputs/research_selection_lineage_closure_v1/current/artifact_manifest.json,yaml_path
configs/development_robustness_split_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,yaml_path
configs/development_robustness_split_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/date_assignments.csv,yaml_path
configs/development_robustness_split_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/label_intervals.csv,yaml_path
configs/development_robustness_split_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/split_manifest.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,configs/historical_portfolio_backtest_v1.yaml,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/factor_universe_v2/current/factor_inventory_v2.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/artifact_manifest.json,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/factor_qualification.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/partition_manifest.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/full_research_labels_v2/current/artifact_manifest.json,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/split_manifest.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,outputs/research_selection_lineage_closure_v1/current/date_assignments.csv,yaml_path
configs/economic_multi_factor_research_v1.yaml,reports/economic_multi_factor_research_v1/literature_evidence_map.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,configs/a_share_fee_schedule_v1.yaml,yaml_path
configs/execution_accuracy_correction_v1.yaml,configs/a_share_market_field_timing_v1.yaml,yaml_path
configs/execution_accuracy_correction_v1.yaml,configs/a_share_trading_rules_v1.yaml,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/point_in_time_universe_v2/full_research/artifact_manifest.json,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/qlib_exchange_split_transparent_v1/full_research_669/execution_summary.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/raw_market_data_snapshot_v1/full_research_669/artifact_manifest.json,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/artifact_manifest.json,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/date_assignments.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/factor_weights_by_split.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/split_allowlist_manifest.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/transparent_score_policy.json,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/research_selection_lineage_closure_v1/current/weight_manifest.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/split_transparent_score_v2/current/artifact_manifest.json,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/split_transparent_score_v2/current/score_artifact.csv,yaml_path
configs/execution_accuracy_correction_v1.yaml,outputs/universes/community_20260609/all_stock_shsz.txt,yaml_path
configs/execution_reconciliation_v1.yaml,configs/qlib_exchange_synthetic_v1.yaml,yaml_path
configs/execution_reconciliation_v1.yaml,outputs/qlib_exchange_v1/synthetic/artifact_manifest.json,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,configs/a_share_fee_schedule_v1.yaml,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,configs/a_share_market_field_timing_v1.yaml,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,configs/a_share_trading_rules_v1.yaml,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,configs/artifact_lineage_semantics_v1.yaml,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/accuracy_correction_v1/current/contract_status.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/accuracy_correction_v1/current/readiness_summary.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/accuracy_correction_v1/current/selection_status.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/data_source_audit_v2/current/artifact_manifest.json,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/data_source_audit_v2/current/community_semantics_audit.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/data_source_audit_v2/current/readiness_summary.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/execution_accuracy_correction_v1/current/canary/execution_summary.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/execution_accuracy_correction_v1/current/execution_summary.csv,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/full_research_feature_matrix_v4/current/artifact_manifest.json,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/point_in_time_universe_v2/full_research/artifact_manifest.json,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/raw_market_data_snapshot_v1/full_research_669/artifact_manifest.json,yaml_path
configs/execution_unit_semantics_correction_v1_2.yaml,outputs/research_selection_lineage_closure_v1/current/artifact_manifest.json,yaml_path
