datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-05-23,SH600000,0.9154643,0.85442317,0.84626424,0.93899006,0.9155011,0.8356394,0.8169301,0.9307547,0.8565385,0.8333459,0.05,0.16666667,0.35,0.47947297
2024-05-24,SH600000,0.94074583,0.8601388,0.8625028,0.96559805,0.92887354,0.84354144,0.82465523,0.94144744,0.8677343,0.8412262,0.2,0.13333334,0.33333334,0.48291543
2024-05-27,SH600000,0.93209225,0.85129637,0.8313988,0.96724534,0.9180222,0.833687,0.8150214,0.9360567,0.8592704,0.8323033,0.15,0.1,0.31666666,0.49226266
2024-05-28,SH600000,0.9227465,0.84775394,0.8360717,0.9812303,0.9180222,0.833687,0.8150214,0.952246,0.85951155,0.8323033,0.1,0.06666667,0.3,0.48859516
2024-05-29,SH600000,0.9293404,0.8398029,0.8363154,0.99062854,0.9281648,0.8386171,0.81984115,0.9762245,0.86459434,0.83745265,0.05,0.033333335,0.28333333,0.49620354
2024-05-30,SH600000,0.9547893,0.8690421,0.8511877,0.9952381,0.95244527,0.8548208,0.82863635,0.9980996,0.87577003,0.8464368,0.05,0.06666667,0.26666668,0.4832704
2024-05-31,SH600000,0.9784672,0.87049466,0.8525122,0.99640286,0.9772237,0.8609564,0.83458394,1.0057421,0.8872887,0.8535,0.1,0.033333335,0.25,0.48176053
2024-06-03,SH600000,1.0048196,0.8865049,0.8538557,0.98913044,0.98913044,0.87563497,0.84061754,1.013013,0.8958955,0.8599191,0.05,0.13333334,0.23333333,0.4759524
2024-06-04,SH600000,1.0120686,0.881015,0.860591,0.984386,0.984386,0.8714349,0.8365855,1.0019187,0.8918458,0.8557945,0.1,0.1,0.21666667,0.5014391
2024-06-05,SH600000,1.028882,0.8854037,0.8588509,0.98790175,0.98790175,0.87454724,0.8395733,1.0028572,0.92204976,0.85978264,0.05,0.06666667,0.2,0.4959995
2024-06-06,SH600000,1.032769,0.88367015,0.8654911,0.9927576,0.9927576,0.87884593,0.8437001,1.0046657,0.9430444,0.8640088,0.05,0.033333335,0.18333334,0.49297747
2024-06-07,SH600000,1.0156456,0.88327783,0.85678875,0.9855297,0.9855297,0.8784419,0.8375575,0.9973511,0.93857956,0.8579506,0.15,0.13333334,0.16666667,0.4840332
2024-06-11,SH600000,1.0478598,0.90309584,0.87237406,0.995092,0.995092,0.89571655,0.85402817,1.0152109,0.95899546,0.8767809,0.1,0.1,0.15,0.48885417
