event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000061,2024-08-05,SZ301558,sell,2100.521775218508,2100.521775218508,0.0,8.170000185936397,8.161830185750462,17144.102030804566,filled,,5.143230609241369,17.144102030804568,17.161263294094912,22.28733264004594,39.448595934140855,split_001
event_000062,2024-08-05,SZ002548,sell,8197.497273897803,6399.999999999999,1797.497273897804,3.9100002062747055,3.9060902060684306,24998.97731883795,partial,cash_volume_or_lot,7.499693195651385,24.99897731883795,25.02400132015907,32.49867051448933,57.522671834648406,split_001
event_000063,2024-08-05,SH601866,sell,18100.0,18100.0,0.0,2.4199999076044696,2.417579907696865,43758.196329313265,filled,,13.127458898793979,43.758196329313265,43.801998327640405,56.88565522810724,100.68765355574764,split_001
event_000064,2024-08-05,SZ000413,sell,799.3310488078166,400.0,399.3310488078166,0.5199999952950736,0.5194799952997785,207.7919981199114,partial,cash_volume_or_lot,5.0,0.2077919981199114,0.20799999811802472,5.2077919981199114,5.415791996237936,split_001
event_000065,2024-08-05,SZ002311,sell,2099.9899697077212,2099.9899697077212,0.0,41.8600014472348,41.81814144578757,87817.67758797263,filled,,26.34530327639179,87.81767758797264,87.90558317114048,114.16298086436443,202.0685640355049,split_001
event_000066,2024-08-05,SZ000514,sell,6899.727993421949,6899.727993421949,0.0,3.130000057368996,3.1268700573116273,21574.552866225928,filled,,6.472365859867778,21.57455286622593,21.596149015240183,28.046918726093708,49.643067741333894,split_001
event_000067,2024-08-05,SH600660,sell,4499.994948530144,4499.994948530144,0.0,43.03999778131271,42.99695778353139,193486.09282805515,filled,,58.045827848416536,193.48609282805515,193.6797726006609,251.53192067647169,445.21169327713255,split_001
event_000068,2024-08-05,SH600711,sell,1000.0254803971259,1000.0254803971259,0.0,4.07999997139116,4.0759199714197685,4076.0238274792937,filled,,5.0,4.076023827479294,4.080103931411402,9.076023827479293,13.156127758890694,split_001
event_000069,2024-08-05,SZ002197,sell,8002.9966460527885,7300.0,702.9966460527885,3.52000000909112,3.5164800090820285,25670.30406629881,partial,cash_volume_or_lot,7.701091219889642,25.67030406629881,25.696000066366942,33.37139528618845,59.067395352555394,split_001
event_000070,2024-08-05,SH688687,sell,1000.0170077758796,900.0,100.01700777587962,23.19999927434724,23.17679927507289,20859.119347565604,partial,cash_volume_or_lot,6.2577358042696805,20.859119347565603,20.879999346912115,27.11685515183528,47.996854498747396,split_001
event_000071,2024-08-05,SZ001896,sell,4495.462794611585,4495.462794611585,0.0,3.699999847731633,3.6962998478839006,16616.57844389054,filled,,5.0,16.61657844389054,16.633211655549008,21.61657844389054,38.24979009943955,split_001
event_000072,2024-08-05,SH601021,sell,1299.9251915293414,1299.9251915293414,0.0,54.799998518558894,54.74519852004033,71164.66267147525,filled,,21.34939880144257,71.16466267147526,71.2358985700483,92.51406147291783,163.74996004296614,split_001
event_000073,2024-08-05,SH600027,sell,31206.01680122123,31206.01680122123,0.0,5.400000037162032,5.39460003712487,168343.97939438737,filled,,50.503193818316205,168.34397939438736,168.51249188627648,218.84717321270358,387.35966509898003,split_001
event_000074,2024-08-05,SZ300442,sell,3999.7115787117687,3999.7115787117687,0.0,21.37999917339372,21.358619174220326,85428.31641642422,filled,,25.628494924927264,85.42831641642422,85.51383024667315,111.05681134135149,196.57064158802464,split_001
event_000075,2024-08-05,SZ300536,sell,2800.5799324868117,2800.5799324868117,0.0,7.0,6.993,19584.455467880274,filled,,5.875336640364082,19.584455467880275,19.604059527406765,25.459792108244358,45.06385163565112,split_001
event_000076,2024-08-05,SH601166,sell,11599.612171525901,11599.612171525901,0.0,16.499998838651678,16.483498839813024,191202.19377162823,filled,,57.360658131488464,191.20219377162823,191.39358735901476,248.5628519031167,439.9564392621314,split_001
event_000077,2024-08-05,SH601233,sell,8401.43833267489,8401.43833267489,0.0,13.350000024318291,13.336650024293972,112047.04274357288,filled,,33.61411282307186,112.04704274357287,112.15920194552594,145.66115556664474,257.8203575121707,split_001
event_000078,2024-08-05,SH601872,sell,11795.000795793276,11795.000795793276,0.0,7.759999954278216,7.752239954323937,91437.67643043127,filled,,27.431302929129377,91.43767643043127,91.5292056360819,118.86897935956064,210.39818499564254,split_001
event_000079,2024-08-05,SH601022,sell,4303.226491753151,4300.0,3.2264917531510946,8.519999663095536,8.511479663432441,36599.3625527595,partial,cash_volume_or_lot,10.97980876582785,36.5993625527595,36.63599855130908,47.57917131858735,84.21516986989643,split_001
