instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SH603721,41,28600.0,28599.2448475661,1203691.6346893068,676.7852702952789,1203.6634381271117,28,123700.0,123690.9603648318,4892667.551783018,2741.3956706336453,4892.654394129534,-13,95100.0,95091.7155172657,3688975.917093711,2064.610400338366,3688.9909560024225,False,3688975.917093711
SZ000600,88,316500.0,316496.2741109245,3668270.217795971,2111.7606755750044,3668.26002583412,59,690800.0,690791.2786448373,7347022.692258254,4196.568067685388,7347.018967071136,-29,374300.0,374295.0045339128,3678752.474462283,2084.8073921103837,3678.758941237016,False,3678752.474462283
SZ000028,46,46800.0,35199.87727200415,2201193.8838006845,1157.801499065461,2200.896616393786,32,110100.0,110099.13176978481,5877663.52238765,3289.1351639807694,5877.659974413228,-14,63300.0,74899.25449778067,3676469.6385869654,2131.3336649153084,3676.763358019442,False,3676469.6385869654
SH601098,82,172900.0,172887.42714413896,4481243.248920474,2550.059169624958,4481.261842732842,63,311400.0,311381.8502367039,8132770.5102796275,4632.544023285527,8132.7824566936215,-19,138500.0,138494.42309256492,3651527.2613591533,2082.484853660569,3651.52061396078,False,3651527.2613591533
SZ002322,113,123200.0,123201.12060900977,3361710.496784699,2037.16008867174,3361.692002761504,81,256400.0,256407.07224177546,6988488.235783396,4107.223129926578,6988.514117928384,-32,133200.0,133205.9516327657,3626777.738998697,2070.063041254838,3626.8221151668795,False,3626777.738998697
SZ002730,54,61100.0,61102.770626636964,1928332.4836429835,1114.7440893314938,1928.341346962062,35,176900.0,176909.88534875776,5552841.557570627,3131.918116039911,5552.855853376684,-19,115800.0,115807.1147221208,3624509.0739276437,2017.1740267084174,3624.514506414622,False,3624509.0739276437
SH601607,82,196100.0,174100.99642013153,7031167.630600392,3860.4843254054285,7030.751688240073,69,290900.0,269200.9964555631,10642199.415681852,5913.668762207182,10641.793807425443,-13,94800.0,95100.00003543159,3611031.78508146,2053.1844368017537,3611.04211918537,False,3611031.78508146
SZ000526,59,43400.0,43400.11162250968,3921588.184617163,2210.87223854233,3921.587896555362,48,81900.0,81900.09973168543,7518848.871203451,4238.83980945612,7518.826581860359,-11,38500.0,38499.988109175756,3597260.6865862883,2027.96757091379,3597.2386853049966,False,3597260.6865862883
SH603939,62,101800.0,101800.90933726249,4892698.810504664,2762.290829396472,4892.699275804383,51,177200.0,177201.3002663122,8469218.826756455,4763.220633498687,8469.226855654235,-11,75400.0,75400.39092904971,3576520.0162517913,2000.9298041022148,3576.5275798498515,False,3576520.0162517913
SH601666,83,331600.0,331613.92610037833,5549515.783682077,3164.252396331406,5549.5268545541985,66,550000.0,550034.2192601953,9115406.603576796,5174.362107190073,9115.415028763993,-17,218400.0,218420.29315981694,3565890.819894719,2010.1097108586673,3565.8881742097947,False,3565890.819894719
SZ000708,107,290800.0,263596.286037789,6664433.7406978225,3671.080093131059,6664.147932672595,74,427100.0,427092.445891366,10216178.513168635,5804.158902690552,10216.151474554223,-33,136300.0,163496.15985357697,3551744.7724708123,2133.078809559493,3552.003541881628,False,3551744.7724708123
SH688300,54,23656.0,23655.924508464712,2323543.160780077,1336.478860330088,2323.579513899942,36,62688.0,62688.300853771616,5849091.230875693,3306.65775589949,5849.1547470838805,-18,39032.0,39032.376345306904,3525548.0700956164,1970.178895569402,3525.5752331839385,False,3525548.0700956164
SH600979,77,390400.0,333619.4231759972,3366575.73647479,1864.0389560209535,3366.351622050525,58,819300.0,746209.0233737711,6874664.335239688,3861.24973225346,6874.356587836423,-19,428900.0,412589.6001977739,3508088.598764898,1997.2107762325065,3508.0049657858985,False,3508088.598764898
SH600696,52,98000.0,69203.81217883358,998684.7640581509,544.0418306493591,998.5141502008191,39,371700.0,371739.7511058501,4499320.261063566,2580.543857186439,4499.355476522116,-13,273700.0,302535.9389270165,3500635.4970054156,2036.5020265370797,3500.841326321297,False,3500635.4970054156
SZ002003,37,68600.0,68600.21233533073,1645350.3217265913,929.5718938507756,1645.343345073237,31,216200.0,216200.60873937394,5132883.295323552,2881.1848133619346,5132.859707048941,-6,147600.0,147600.39640404322,3487532.9735969603,1951.612919511159,3487.516361975704,False,3487532.9735969603
SH688439,49,21665.0,21664.97856315493,2185196.1627494157,1238.943060616654,2185.214958255356,31,56150.0,56149.59149836795,5668590.011911098,3196.1194796893183,5668.625957516802,-18,34485.0,34484.612935213016,3483393.849161682,1957.1764190726642,3483.4109992614462,False,3483393.849161682
SH600529,140,195400.0,195623.64107995175,8821938.01577285,5027.865470909871,8821.930924705697,88,274100.0,274323.31509257737,12272620.384886172,6966.4339847911,12272.61998294446,-52,78700.0,78699.67401262562,3450682.3691133223,1938.5685138812287,3450.6890582387623,False,3450682.3691133223
