datetime,portfolio_id,outer_split_id,return,benchmark_return,excess_return,turnover,implementation_cost,drawdown
2025-02-07,P05,split_002,0.0182556832723989,0.014266491,0.0039891923361196,0.0,0.0,0.0
2025-02-10,P05,split_002,0.0163372991146285,0.009122014,0.0072152850689132,0.0,0.0,0.0
2025-02-11,P05,split_002,-0.0071662180858858,-0.004202664,-0.0029635541874177,0.0,0.0,-0.0071662180858859
2025-02-12,P05,split_002,0.0080095196696173,0.011791825,-0.0037823056248773,0.0,0.0,0.0
2025-02-13,P05,split_002,-0.004197758859711,-0.0064864755,0.0022887166079708,0.0,0.0,-0.0041977588597109
2025-02-14,P05,split_002,-0.001538743163689,0.006279111,-0.0078178540721973,0.0,0.0,-0.0057300427506519
2025-02-17,P05,split_002,0.0087467263957566,0.005078912,0.0036678146144456,0.0,0.0,0.0
2025-02-18,P05,split_002,-0.0203981111410927,-0.01625365,-0.0041444609526467,0.0,0.0,-0.0203981111410928
2025-02-19,P05,split_002,0.0100213942480577,0.015190244,-0.0051688494729505,0.0,0.0,-0.0105811344066956
2025-02-20,P05,split_002,0.0010177199527016,0.002513647,-0.0014959271267661,0.0,0.0,-0.0095741830856018
2025-02-21,P05,split_002,0.001473385224972,0.013739109,-0.0122657238143345,0.0,0.0,-0.0081149043205293
2025-02-24,P05,split_002,0.0043016650760393,-0.0003719926,0.0046736576640825,0.0,0.0,-0.0038481468450008
2025-02-25,P05,split_002,-0.0027721212827442,-0.0082393885,0.005467267183137,0.0,0.0,-0.0066096005979771
2025-02-26,P05,split_002,0.0142407527542382,0.011478066,0.0027626863098412,0.0,0.0,0.0
2025-02-27,P05,split_002,6.769870961866963e-05,-0.0007480383,0.0008157370015498,0.0,0.0,0.0
2025-02-28,P05,split_002,-0.0231434319213539,-0.027241647,0.0040982153221458,0.0,0.0,-0.023143431921354
2025-03-03,P05,split_002,0.0034313022071806,0.0011943579,0.0022369443351714,0.0,0.0,-0.0197915418232067
2025-03-04,P05,split_002,0.0094191532624777,0.0060269833,0.0033921700013693,0.0,0.0,-0.0105588081264625
2025-03-05,P05,split_002,-0.0037818762644292,0.0046247244,-0.0084066006525518,0.0,0.0,-0.0143007522850577
2025-03-06,P05,split_002,0.0029210654897598,0.016501427,-0.0135803612070175,1.4337409100225766,27215.18787151983,-0.0125665262604767
2025-03-07,P05,split_002,-0.0025659809386371,-0.0042518973,0.0016859163964153,0.0,0.0,-0.0151002617322647
2025-03-10,P05,split_002,0.0007089471090897,-0.00064253807,0.0013514851797685,0.0,0.0,-0.0144020199100763
2025-03-11,P05,split_002,0.0049836655607236,0.0037386417,0.001245023821832,0.0,0.0,-0.0094901291999835
2025-03-12,P05,split_002,0.0016306810391802,-5.221367e-05,0.0016828947080035,0.0,0.0,-0.0078749235345491
2025-03-13,P05,split_002,0.004019452624418,-0.008815467,0.0128349199820535,0.0,0.0,-0.003887123792199
