factor,full_coverage,infinite_fraction,coverage_A,coverage_B,coverage_C,coverage_D,worst_era_coverage
alpha360_VWAP53,0.9502252052145812,0.0,0.9394357221584365,0.8897904566483583,0.9805800371384871,0.9973911368810571,0.8897904566483583
alpha360_VWAP54,0.9501369603093691,0.0,0.939363245132328,0.8895670949246341,0.9805211306484303,0.9973849465915579,0.8895670949246341
alpha360_VWAP55,0.9500530824728451,0.0,0.9392916519723915,0.8893560283416656,0.9804663339134938,0.9973808197318916,0.8893560283416656
alpha360_VWAP56,0.949976282299367,0.0,0.9392368522697241,0.8891470109488229,0.9804156469336774,0.9973766928722255,0.8891470109488229
alpha360_VWAP57,0.9499043009603033,0.0,0.9391948686265515,0.8889379935559801,0.9803683847497947,0.9973711903926707,0.8889379935559801
alpha360_VWAP58,0.9498273501982498,0.0,0.9391409527900562,0.8887173640857572,0.9803259172802189,0.9973684391528933,0.8887173640857572
alpha360_VWAP59,0.9497594347507232,0.0,0.9390972014145395,0.88852064183367,0.9802868746065766,0.9973636244832828,0.88852064183367
alpha360_VWAP6,0.9597422525942647,0.0,0.9505132168928039,0.9110911049438077,0.9849356926067561,0.9977969447482272,0.9110911049438077
alpha360_VWAP7,0.959205554911371,0.0,0.9499311910185055,0.9098868642131486,0.9846726682790606,0.9977281637537916,0.9098868642131486
alpha360_VWAP8,0.9587090643781219,0.0,0.9493951261851541,0.908778935418407,0.9844212882575392,0.9976628218090777,0.908778935418407
alpha360_VWAP9,0.9582413362627831,0.0,0.9488749709428996,0.9077686846863339,0.9841719631135779,0.9976036701538631,0.9077686846863339
amount_cv_20,0.8888680407372215,0.0,0.8135966017113416,0.8462376527756622,0.944888183837566,0.9926913315312713,0.8135966017113416
amount_mean_20,0.8888680407372215,0.0,0.8135966017113416,0.8462376527756622,0.944888183837566,0.9926913315312713,0.8135966017113416
amount_std_20,0.8888680407372215,0.0,0.8135966017113416,0.8462376527756622,0.944888183837566,0.9926913315312713,0.8135966017113416
amplitude_20,0.8888680407372215,0.0,0.8135966017113416,0.8462376527756622,0.944888183837566,0.9926913315312713,0.8135966017113416
corr_ret_amount_20,0.8850527285896929,0.0,0.8064726403645771,0.8424418695991033,0.9426935746033572,0.9923783780065892,0.8064726403645771
corr_ret_volume_20,0.8850527285896929,0.0,0.8064726403645771,0.8424418695991033,0.9426935746033572,0.9923783780065892,0.8064726403645771
kunquant_alpha101_alpha003,1.0,0.0,1.0,1.0,1.0,1.0,1.0
kunquant_alpha101_alpha004,0.9304053392685311,0.0,0.897473733707032,0.8896429149592928,0.9694576698647411,0.9834898100956744,0.8896429149592928
kunquant_alpha101_alpha005,0.9258604254729611,0.0,0.8894442514669969,0.8855650266087338,0.967205524058849,0.9815955815089175,0.8855650266087338
kunquant_alpha101_alpha006,1.0,0.0,1.0,1.0,1.0,1.0,1.0
kunquant_alpha101_alpha007,0.8205949453438766,0.0,0.7108065013660152,0.7871232990868126,0.9096504584774316,0.9357441071883017,0.7108065013660152
kunquant_alpha101_alpha011,0.953524299725477,0.0,0.9384466759119068,0.910500938187546,0.9807430574249233,0.9929808995178452,0.910500938187546
kunquant_alpha101_alpha011_canonical_vwap_v2,0.953524299725477,0.0,0.9384466759119068,0.910500938187546,0.9807430574249233,0.9929808995178452,0.910500938187546
kunquant_alpha101_alpha012,0.9629562645600329,0.0,0.9552021269355564,0.9190808972447273,0.9852863917103499,0.9967817372703575,0.9190808972447273
kunquant_alpha101_alpha013,0.9488455126863345,0.0,0.9301454048239648,0.9062529670565365,0.9784799522720439,0.9910804806415892,0.9062529670565365
kunquant_alpha101_alpha014,0.9510754283115557,0.0,0.9362467330096615,0.906594498744188,0.9787073587220305,0.9911974083321297,0.906594498744188
