datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode,method
2021-12-08,2542510.223414073,10985564.680299977,0.0,0.0,0.010334069694250436,3,0,signal_date_only,old_candidate_equal
2021-12-09,2542510.223414073,11054041.04510031,0.0,0.0,0.006233304048824273,3,0,signal_date_only,old_candidate_equal
2021-12-10,2542510.223414073,11048781.449661473,0.0,0.0,-0.0004758074822934777,3,0,signal_date_only,old_candidate_equal
2021-12-13,2542510.223414073,11077903.472653845,0.0,0.0,0.0026357678559443265,3,0,signal_date_only,old_candidate_equal
2021-12-14,2542510.223414073,10985244.821878592,0.0,0.0,-0.008364276778903612,3,0,signal_date_only,old_candidate_equal
2021-12-15,2542510.223414073,10901959.668356994,0.0,0.0,-0.007581547327531912,3,0,signal_date_only,old_candidate_equal
2021-12-16,2542510.223414073,11007849.029245296,0.0,0.0,0.009712874025359586,3,0,signal_date_only,old_candidate_equal
2021-12-17,2542510.223414073,10898334.10136632,0.0,0.0,-0.009948803584425958,3,0,signal_date_only,old_candidate_equal
2021-12-20,2542510.223414073,10679924.842862109,0.0,0.0,-0.020040609553053645,3,0,signal_date_only,old_candidate_equal
2021-12-21,2542510.223414073,10765428.07464085,0.0,0.0,0.00800597691807603,3,0,signal_date_only,old_candidate_equal
2021-12-22,2542510.223414073,10815268.877295474,0.0,0.0,0.004629709316625208,3,0,signal_date_only,old_candidate_equal
2021-12-23,2542510.223414073,10866039.574310998,0.0,0.0,0.004694353657920258,3,0,signal_date_only,old_candidate_equal
2021-12-24,2542510.223414073,10731391.65592424,0.0,0.0,-0.012391627829617557,3,0,signal_date_only,old_candidate_equal
2021-12-27,2542510.223414073,10775215.495405415,0.0,0.0,0.004083705160176754,3,0,signal_date_only,old_candidate_equal
2021-12-28,2542510.223414073,10751746.591278234,0.0,0.0,-0.002178044990115313,3,0,signal_date_only,old_candidate_equal
2021-12-29,2542510.223414073,10715122.215058723,0.0,0.0,-0.003406365273640355,3,0,signal_date_only,old_candidate_equal
2021-12-30,3801235.315489803,10664678.494762663,1.079160663230925,-3.259629011154175e-09,-0.004707713013778703,3,6677700,signal_date_only,old_candidate_equal
2021-12-31,3801235.315489803,10702400.156410817,0.0,0.0,0.0035370650570178963,4,0,signal_date_only,old_candidate_equal
2022-01-04,3801235.315489803,10679346.800374273,0.0,0.0,-0.0021540360759857435,3,0,signal_date_only,old_candidate_equal
2022-01-05,3801235.315489803,10553570.154353265,0.0,0.0,-0.011777559842573893,3,0,signal_date_only,old_candidate_equal
2022-01-06,3801235.315489803,10582969.417279247,0.0,0.0,0.0027857172971799127,3,0,signal_date_only,old_candidate_equal
2022-01-07,3801235.315489803,10423740.127182785,0.0,0.0,-0.015045804614769231,3,0,signal_date_only,old_candidate_equal
2022-01-10,3801235.315489803,10450683.905490521,0.0,0.0,0.00258484747115606,3,0,signal_date_only,old_candidate_equal
2022-01-11,3801235.315489803,10395652.903982285,0.0,0.0,-0.005265779924634839,3,0,signal_date_only,old_candidate_equal
2022-01-12,3801235.315489803,10531173.289611224,0.0,0.0,0.01303625533486441,3,0,signal_date_only,old_candidate_equal
2022-01-13,3801235.315489803,10384699.624770168,0.0,0.0,-0.013908579871679594,3,0,signal_date_only,old_candidate_equal
2022-01-14,3801235.315489803,10381919.949708167,0.0,0.0,-0.00026767024203289136,3,0,signal_date_only,old_candidate_equal
2022-01-17,3801235.315489803,10467998.364558104,0.0,0.0,0.008291184604284796,3,0,signal_date_only,old_candidate_equal
2022-01-18,3801235.315489803,10433019.624892656,0.0,0.0,-0.003341492656693368,3,0,signal_date_only,old_candidate_equal
2022-01-19,3801235.315489803,10354210.206902806,0.0,0.0,-0.007553845465967934,3,0,signal_date_only,old_candidate_equal
2022-01-20,3801235.315489803,10127841.13538343,0.0,0.0,-0.02186251457097732,3,0,signal_date_only,old_candidate_equal
2022-01-21,3801235.315489803,10062320.392914895,0.0,0.0,-0.00646936909778606,3,0,signal_date_only,old_candidate_equal
2022-01-24,3801235.315489803,10152467.981190268,0.0,0.0,0.00895892644591667,3,0,signal_date_only,old_candidate_equal
2022-01-25,3801235.315489803,9883481.98596466,0.0,0.0,-0.0264946410787964,3,0,signal_date_only,old_candidate_equal
2022-01-26,3801235.315489803,9902618.114245716,0.0,0.0,0.0019361727282178887,3,0,signal_date_only,old_candidate_equal
2022-01-27,3801235.315489803,9701509.331970695,0.0,0.0,-0.020308647668207058,3,0,signal_date_only,old_candidate_equal
2022-01-28,3949914.040985916,9746945.00674254,0.9378996441175648,9.313225746154785e-10,0.004683361445843692,3,7631500,signal_date_only,old_candidate_equal
2022-02-07,3949914.040985916,9819790.96586204,0.0,0.0,0.007473722183628517,3,0,signal_date_only,old_candidate_equal
2022-02-08,3949914.040985916,9905880.358218614,0.0,0.0,0.008766927183670115,3,0,signal_date_only,old_candidate_equal
2022-02-09,3949914.040985916,10037923.463740412,0.0,0.0,0.013329769868686725,3,0,signal_date_only,old_candidate_equal
2022-02-10,3949914.040985916,10020079.324089948,0.0,0.0,-0.0017776724155071921,3,0,signal_date_only,old_candidate_equal
2022-02-11,3949914.040985916,9853496.963096622,0.0,0.0,-0.016624854515156717,3,0,signal_date_only,old_candidate_equal
2022-02-14,3949914.040985916,9897067.29891247,0.0,0.0,0.004421814506974098,3,0,signal_date_only,old_candidate_equal
2022-02-15,3949914.040985916,9959163.495639924,0.0,0.0,0.006274201725826156,3,0,signal_date_only,old_candidate_equal
2022-02-16,3949914.040985916,10062334.513258401,0.0,0.0,0.010359405954490475,3,0,signal_date_only,old_candidate_equal
2022-02-17,3949914.040985916,10100460.683884684,0.0,0.0,0.003788998524750564,3,0,signal_date_only,old_candidate_equal
2022-02-18,3949914.040985916,10132724.269231621,0.0,0.0,0.0031942686929531394,3,0,signal_date_only,old_candidate_equal
2022-02-21,3949914.040985916,10254527.494406167,0.0,0.0,0.012020777624868861,3,0,signal_date_only,old_candidate_equal
2022-02-22,3949914.040985916,10244842.568461064,0.0,0.0,-0.0009444536523390834,3,0,signal_date_only,old_candidate_equal
2022-02-23,3949914.040985916,10375356.922555927,0.0,0.0,0.01273951778396798,3,0,signal_date_only,old_candidate_equal
2022-02-24,3949914.040985916,10208555.019968215,0.0,0.0,-0.016076738740918528,3,0,signal_date_only,old_candidate_equal
2022-02-25,3949914.040985916,10282748.399178151,0.0,0.0,0.007267765032838769,4,0,signal_date_only,old_candidate_equal
2022-02-28,3949914.040985916,10263719.783545498,0.0,0.0,-0.0018505379003704858,4,0,signal_date_only,old_candidate_equal
2022-03-01,3949914.040985916,10288372.182970706,0.0,0.0,0.0024018971625405783,4,0,signal_date_only,old_candidate_equal
2022-03-02,3949914.040985916,10345960.911067788,0.0,0.0,0.005597457700101671,4,0,signal_date_only,old_candidate_equal
2022-03-03,3949914.040985916,10321144.16851199,0.0,0.0,-0.002398688992653053,4,0,signal_date_only,old_candidate_equal
2022-03-04,1980101.925574154,10225673.000023425,1.1740713106869916,6.984919309616089e-10,-0.009250056672963858,3,3336400,signal_date_only,old_candidate_equal
2022-03-07,1980101.925574154,9927531.762402415,0.0,0.0,-0.02915614821834478,3,0,signal_date_only,old_candidate_equal
2022-03-08,1980101.925574154,9700241.149078965,0.0,0.0,-0.022894977197075894,3,0,signal_date_only,old_candidate_equal
2022-03-09,1980101.925574154,9634199.51869762,0.0,0.0,-0.006808246245261218,3,0,signal_date_only,old_candidate_equal
2022-03-10,1980101.925574154,9798042.912543476,0.0,0.0,0.017006435618016402,3,0,signal_date_only,old_candidate_equal
2022-03-11,1980101.925574154,9793916.391079783,0.0,0.0,-0.00042115772512174576,3,0,signal_date_only,old_candidate_equal
2022-03-14,1980101.925574154,9557352.042052805,0.0,0.0,-0.024154213654758006,3,0,signal_date_only,old_candidate_equal
2022-03-15,1980101.925574154,9237247.425519586,0.0,0.0,-0.03349302349905536,3,0,signal_date_only,old_candidate_equal
