window,sample,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows,ic_dates
recent_oos_2024_2026,tradable_only,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.9732880711478749,-0.029860483718867705,-0.3221601818488035,-0.03241523441798119,,-0.3044230893257345,618436,575
recent_oos_2024_2026,tradable_only,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.9729638705148967,0.006263522418414864,0.08373369833466453,-0.0040571286794333335,,-0.043416964548529294,618230,575
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_5,momentum,watch,0.9615554705709236,-0.02411735862790356,-0.1788116801000064,-0.035178144534385,,-0.21611863796060476,610981,565
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_10,momentum,watch,0.9610266773054835,-0.03244402252559219,-0.23085023843167352,-0.05394797980222549,,-0.32585274996193614,610645,565
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20,momentum,watch,0.9609826112000303,-0.03873829712079331,-0.2685929974815458,-0.07354394426069193,,-0.4265073836877405,610617,565
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5,reversal,positive,0.9615554705709236,0.02411735862790356,0.1788116801000064,0.035178144534385,0.035178144534385,0.21611863796060476,610981,565
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20,risk,negative,0.9562848496008083,-0.02432167823181087,-0.1198383239555123,-0.06825844209526678,0.06825844209526678,-0.2737304960489619,607632,565
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20,risk,negative,0.9565964599179426,-0.022462871701245248,-0.10382420440384496,-0.07540823769305438,0.07540823769305438,-0.29203572086298385,607830,565
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20,liquidity,watch,0.9565964599179426,0.006773482184317645,0.061582685079423015,-0.02318357764544482,,-0.14643942329873913,607830,565
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_std_20,liquidity,watch,0.9565964599179426,-0.007211333945823381,-0.06893143523600755,-0.050580262616495675,,-0.3597199560393167,607830,565
recent_oos_2024_2026,tradable_only,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.9565964599179426,-0.023472872251684075,-0.24377959083259457,-0.03201760511695714,,-0.28473480004251583,607830,565
recent_oos_2024_2026,tradable_only,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.9562848496008083,0.02195094575815725,0.3091595747446974,0.012970908885900188,,0.14338286999940902,607632,565
