outer_split_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,frozen_direction,direction_agreement_ratio,direction_adjusted_positive_window_ratio,median_train_ic,median_validation_ic,median_development_degradation,worst_development_degradation,upstream_fdr_pass,upstream_fdr_q_value,coverage_min,coverage_median,stability_role,role_reason
split_002,alpha158_CORD30,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.06252097333989827,-0.027655990303827694,0.026842223937078524,-0.035408052324135436,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.035408052324135436;upstream_fdr_pass=True
split_002,alpha158_CORD5,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.020062230645961212,-0.04905984902275343,0.03554663935051371,0.028997618376792215,True,0.038080731150038,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=0.028997618376792215;upstream_fdr_pass=True
split_002,alpha158_CORD60,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.05019815348723354,0.0016041869606095848,0.11403001655945266,0.11403001655945266,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.11403001655945266;upstream_fdr_pass=True
split_002,alpha158_CORR10,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.041815562555715016,-0.03296550728714681,0.028531242719210682,-0.008850055268568205,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.008850055268568205;upstream_fdr_pass=True
split_003,alpha158_BETA10,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.030552443128009484,-0.016808476429307728,0.022957349399507655,-0.011701796586186232,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.011701796586186232;upstream_fdr_pass=True
split_003,alpha158_BETA20,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.05662834643857626,-0.014870850744217564,0.03485286679613703,-0.04268169134452579,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.04268169134452579;upstream_fdr_pass=True
split_003,alpha158_BETA30,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.07184870088824186,-0.04291525455174403,0.049917266028045304,-0.03577280045596364,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.03577280045596364;upstream_fdr_pass=True
split_003,alpha158_BETA5,3,3,1,0.3333333333333333,-1,1.0,0.6666666666666666,-0.01778814157788135,-0.006342027575011587,0.017570862415122082,0.017570862415122082,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=0.017570862415122082;upstream_fdr_pass=True
split_003,alpha158_BETA60,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.06822544855023038,-0.020134370667630398,0.014069856644370944,-0.04809107788259999,True,0.0412541254125412,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.04809107788259999;upstream_fdr_pass=True
split_003,alpha158_CNTD10,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.016162174032411346,0.0034045835960443945,0.015083130952176591,0.015083130952176591,True,0.0471475719000471,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.015083130952176591;upstream_fdr_pass=True
split_003,alpha158_CNTD20,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.03021973170470308,0.028012789223848516,0.06258643007169723,0.06258643007169723,True,0.0471475719000471,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.06258643007169723;upstream_fdr_pass=True
split_003,alpha158_CNTD30,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.04216634682084879,0.03065989507705292,0.058352745767774966,0.058352745767774966,True,0.0412541254125412,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.058352745767774966;upstream_fdr_pass=True
split_003,alpha158_CNTD5,3,3,0,0.0,-1,1.0,0.6666666666666666,-0.009881220014109779,-0.007304590641514942,,,True,0.0309405940594059,1.0,1.0,monitor,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=nan;upstream_fdr_pass=True
