datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode
2022-11-04,7938342.495651498,9970355.340015098,0.0,0.0,0.001343495178684817,3,0,signal_date_only
2022-11-07,8574566.876420043,9978016.683671288,0.24566975803911512,3.725290298461914e-09,0.0007684122977484886,3,8952800,signal_date_only
2022-11-08,8574566.876420043,9984058.920830898,0.0,0.0,0.0006055549265113758,3,0,signal_date_only
2022-11-09,8574566.876420043,9986470.754039697,0.0,0.0,0.0002415684069900781,3,0,signal_date_only
2022-11-10,8574566.876420043,9989271.274266057,0.0,0.0,0.00028043142520850495,3,0,signal_date_only
2022-11-11,8574566.876420043,10005581.022116952,0.0,0.0,0.0016327264925632967,3,0,signal_date_only
2022-11-14,8574566.876420043,10018196.622902565,0.0,0.0,0.0012608563918203863,3,0,signal_date_only
2022-11-15,8574566.876420043,10026310.32423716,0.0,0.0,0.0008098963955296412,3,0,signal_date_only
2022-11-16,8574566.876420043,10027057.900193743,0.0,0.0,7.456142213912997e-05,3,0,signal_date_only
2022-11-17,8574566.876420043,10037286.686653309,0.0,0.0,0.0010201184197178303,3,0,signal_date_only
2022-11-18,8574566.876420043,10031610.672954135,0.0,0.0,-0.0005654928345049104,3,0,signal_date_only
2022-11-21,8574566.876420043,10022456.375208907,0.0,0.0,-0.0009125451578686494,3,0,signal_date_only
2022-11-22,8574566.876420043,10021961.965948753,0.0,0.0,-4.9330148383264216e-05,3,0,signal_date_only
2022-11-23,8574566.876420043,10017223.255312853,0.0,0.0,-0.0004728326301777219,3,0,signal_date_only
2022-11-24,8574566.876420043,10017663.595608287,0.0,0.0,4.3958319008163826e-05,3,0,signal_date_only
2022-11-25,8574566.876420043,10033009.77152925,0.0,0.0,0.0015319116852448023,3,0,signal_date_only
2022-11-28,8574566.876420043,10032998.46997004,0.0,0.0,-1.1264375763264667e-06,3,0,signal_date_only
2022-11-29,8574566.876420043,10064212.101573162,0.0,0.0,0.0031110970161660756,3,0,signal_date_only
2022-11-30,8574566.876420043,10054730.52212637,0.0,0.0,-0.0009421084682138536,3,0,signal_date_only
2022-12-01,8574566.876420043,10057186.742088608,0.0,0.0,0.0002442850116006756,3,0,signal_date_only
2022-12-02,8574566.876420043,10062810.107183866,0.0,0.0,0.0005591389758852205,3,0,signal_date_only
2022-12-05,8723671.454429904,10075058.743430207,0.2420246035277602,1.30385160446167e-08,0.0012172182636733808,3,7542600,signal_date_only
2022-12-06,8723671.454429904,10073550.94714565,0.0,0.0,-0.00014965632687147234,3,0,signal_date_only
2022-12-07,8723671.454429904,10070126.977444718,0.0,0.0,-0.0003398969954981901,3,0,signal_date_only
2022-12-08,8723671.454429904,10066419.970313737,0.0,0.0,-0.00036811920438373225,3,0,signal_date_only
2022-12-09,8723671.454429904,10062514.383090565,0.0,0.0,-0.0003879817486941439,3,0,signal_date_only
2022-12-12,8723671.454429904,10050403.143016526,0.0,0.0,-0.001203599777645059,3,0,signal_date_only
2022-12-13,8723671.454429904,10050039.35119314,0.0,0.0,-3.619673939547763e-05,3,0,signal_date_only
2022-12-14,8723671.454429904,10050873.001141379,0.0,0.0,8.294991881196978e-05,3,0,signal_date_only
2022-12-15,8723671.454429904,10054813.814876506,0.0,0.0,0.0003920867107445325,3,0,signal_date_only
2022-12-16,8723671.454429904,10040909.516323635,0.0,0.0,-0.0013828499272954264,3,0,signal_date_only
2022-12-19,8723671.454429904,10009517.326490114,0.0,0.0,-0.0031264289138834833,3,0,signal_date_only
2022-12-20,8723671.454429904,10013714.42396147,0.0,0.0,0.00041931067547573697,3,0,signal_date_only
2022-12-21,8723671.454429904,10002173.470420668,0.0,0.0,-0.0011525147464946928,3,0,signal_date_only
2022-12-22,8723671.454429904,9986350.825790593,0.0,0.0,-0.0015819206372361672,3,0,signal_date_only
2022-12-23,8723671.454429904,9987000.58128638,0.0,0.0,6.506435705300184e-05,3,0,signal_date_only
2022-12-26,8723671.454429904,10004039.84025819,0.0,0.0,0.0017061437849257288,3,0,signal_date_only
2022-12-27,8723671.454429904,10011339.614043662,0.0,0.0,0.0007296825984335342,3,0,signal_date_only
2022-12-28,8723671.454429904,9995860.943276713,0.0,0.0,-0.0015461138432699695,3,0,signal_date_only
2022-12-29,8723671.454429904,9987956.57167537,0.0,0.0,-0.0007907644620306353,3,0,signal_date_only
2022-12-30,8723671.454429904,9998874.501223395,0.0,0.0,0.0010931094333135327,3,0,signal_date_only
2023-01-03,8253066.8420843715,10043554.508489363,0.20767376319040215,-5.587935447692871e-09,0.004468503656136713,3,8719800,signal_date_only
2023-01-04,8253066.8420843715,10042641.467350714,0.0,0.0,-9.090816780821243e-05,3,0,signal_date_only
2023-01-05,8253066.8420843715,10056519.112116091,0.0,0.0,0.001381871971681381,3,0,signal_date_only
2023-01-06,8253066.8420843715,10062355.713404708,0.0,0.0,0.0005803798733485799,3,0,signal_date_only
2023-01-09,8253066.8420843715,10070879.074119024,0.0,0.0,0.0008470542045102558,3,0,signal_date_only
2023-01-10,8253066.8420843715,10067195.839269452,0.0,0.0,-0.00036573121596084057,3,0,signal_date_only
2023-01-11,8253066.8420843715,10056559.127974503,0.0,0.0,-0.0010565714092357625,3,0,signal_date_only
2023-01-12,8253066.8420843715,10068678.1140536,0.0,0.0,0.0012050827648777407,3,0,signal_date_only
2023-01-13,8253066.8420843715,10080863.848510377,0.0,0.0,0.0012102615972764408,3,0,signal_date_only
2023-01-16,8253066.8420843715,10095801.113665096,0.0,0.0,0.001481744558719189,3,0,signal_date_only
2023-01-17,8253066.8420843715,10106425.682431452,0.0,0.0,0.0010523750068704985,3,0,signal_date_only
2023-01-18,8253066.8420843715,10119565.217107527,0.0,0.0,0.001300116884935587,3,0,signal_date_only
2023-01-19,8253066.8420843715,10123960.387183718,0.0,0.0,0.0004343240032449458,3,0,signal_date_only
2023-01-20,8253066.8420843715,10128409.871228032,0.0,0.0,0.0004395003411852283,3,0,signal_date_only
2023-01-30,8253066.8420843715,10161755.602706961,0.0,0.0,0.003292296806989947,3,0,signal_date_only
2023-01-31,8253066.8420843715,10192100.72103291,0.0,0.0,0.0029862082412084323,3,0,signal_date_only
2023-02-01,8253066.8420843715,10223792.303311817,0.0,0.0,0.0031094259315458395,3,0,signal_date_only
2023-02-02,8253066.8420843715,10215989.628207676,0.0,0.0,-0.0007631879514623519,3,0,signal_date_only
2023-02-03,8253066.8420843715,10216280.977621667,0.0,0.0,2.8518961411982957e-05,4,0,signal_date_only
2023-02-06,8253066.8420843715,10212742.6256895,0.0,0.0,-0.00034634442219416695,4,0,signal_date_only
2023-02-07,8812839.956760723,10215448.745502103,0.22480695616960866,1.862645149230957e-09,0.0002649748370038285,4,8427600,signal_date_only
2023-02-08,8812839.956760723,10213439.688230623,0.0,0.0,-0.0001966685283761871,4,0,signal_date_only
2023-02-09,8812839.956760723,10222240.729502905,0.0,0.0,0.0008617117779061712,4,0,signal_date_only
2023-02-10,8812839.956760723,10228743.507287968,0.0,0.0,0.00063614015333191,4,0,signal_date_only
2023-02-13,8812839.956760723,10247836.599145401,0.0,0.0,0.0018666116560484003,4,0,signal_date_only
2023-02-14,8812839.956760723,10257086.986772288,0.0,0.0,0.0009026673617784642,4,0,signal_date_only
