factor,source_family,dependency_class,filter_only_reuse_allowed,common_key_count,bit_identical_count,difference_count,bit_identical,max_absolute_difference
alpha360_LOW52,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW53,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW54,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW55,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW56,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW57,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW58,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW59,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW6,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW7,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW8,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW9,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_OPEN0,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
