instrument,board,list_date,delist_date,selection_reason,event_evidence,seed,sample_sha256
SH603106,main,2017-09-20,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603107,main,2023-11-01,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603186,main,2017-01-03,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603189,main,2016-09-14,2026-06-09,adjustment_event|stratified_random,community_factor_change|instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603220,main,2018-11-15,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603308,main,2014-01-22,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603507,main,2017-11-06,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603598,main,2015-05-27,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603607,main,2017-10-25,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH603906,main,2017-04-10,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688002,star,2019-07-22,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688003,star,2019-07-22,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688005,star,2019-07-22,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688006,star,2019-07-22,2026-06-09,board_and_code_change|stratified_random,instrument_state_v1;SZ302132_board_audit|instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688007,star,2019-07-22,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SH688008,star,2019-07-22,2026-06-09,board_and_code_change,instrument_state_v1;SZ302132_board_audit,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
