factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
std_20|10d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.06325439364947717,-0.05028244256020964,-0.10400818956413026,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
std_20|20d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.07412957803461134,-0.04029240124867418,-0.12833093411690938,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|10d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.06701010176395077,-0.10674570529773121,-0.06274142014927972,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|20d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.09142462828383717,-0.13643338419334264,-0.09536681854196795,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|10d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.04035319734425257,-0.06608512423849484,-0.027070033505204646,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|20d_t1,split_006,split_006|selection_history,daily_rank_ic,-0.04929972674125064,-0.08179839219426943,-0.059057243509233,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_006,split_006|selection_history,daily_rank_ic,0.029756360397039057,0.07898042320702553,0.04519587394275265,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_006,split_006|selection_history,daily_rank_ic,0.05716915615829974,0.11702432236248474,0.02718391141798296,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_5|10d_t1,split_006,split_006|selection_history,daily_rank_ic,0.020180854036320223,0.015864081462952578,0.031000231559018442,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_5|20d_t1,split_006,split_006|selection_history,daily_rank_ic,0.013677366945246561,0.0619959442526838,0.03398122892191932,320,84,118,0.2471042471042471,1.0,1.0,False,False,train_coverage=0.247104<0.8,,,,1000,20,20260712,404,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
