window,sample,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__cs_zscore,risk,negative,0.9562848496008083,0.043715150399191716,-0.022359880400195473,-0.10869694683196025,-0.0682068907028071,0.0682068907028071,-0.2736043137852679,0.2736043137852679,0.6230088495575221,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__liquidity_bucket_zscore,risk,negative,0.9562848496008083,0.043715150399191716,-0.019769748091888913,-0.09861004018085057,-0.06170515001793786,0.06170515001793786,-0.2541316936151512,0.2541316936151512,0.6265486725663717,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__volatility_bucket_zscore,risk,negative,0.9562848496008083,0.043715150399191716,-0.008180958000531771,-0.1097974787377777,-0.00971469760228994,0.00971469760228994,-0.11165961639393747,0.11165961639393747,0.5610619469026549,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__amount_proxy_residual,risk,negative,0.9562848496008083,0.043715150399191716,-0.029462846209714833,-0.14618406498417502,-0.07323313830732259,0.07323313830732259,-0.301494144503312,0.301494144503312,0.6513274336283186,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__liquidity_volatility_residual,risk,negative,0.9562848496008083,0.043715150399191716,-0.029933552795677873,-0.3779939440368072,-0.017707221697961437,0.017707221697961437,-0.22108885772346898,0.22108885772346898,0.5787610619469027,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,0.9565964599179426,0.04340354008205738,-0.022462871701245248,-0.10382420440384496,-0.07540823769305438,0.07540823769305438,-0.29203572086298385,0.29203572086298385,0.6265486725663717,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,0.9565964599179426,0.04340354008205738,-0.011046389624207266,-0.04916991476683004,-0.07540823769305438,0.07540823769305438,-0.29203572086298385,0.29203572086298385,0.6265486725663717,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,0.9565964599179426,0.04340354008205738,-0.019143932060292405,-0.0873259760781194,-0.07535718850606243,0.07535718850606243,-0.29186733278599264,0.29186733278599264,0.6283185840707964,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,0.9565964599179426,0.04340354008205738,-0.016883905572640842,-0.07916870282626515,-0.06874742437243714,0.06874742437243714,-0.273772009575984,0.273772009575984,0.6300884955752213,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,0.9565964599179426,0.04340354008205738,-0.015838183721079736,-0.18173346245355143,-0.028801447943659218,0.028801447943659218,-0.3676610494074961,0.3676610494074961,0.6336283185840708,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__amount_proxy_residual,risk,negative,0.9565964599179426,0.04340354008205738,-0.027826089615659223,-0.1292303371635902,-0.0795971705873721,0.0795971705873721,-0.31498063489420025,0.31498063489420025,0.6442477876106195,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,0.9565964599179426,0.04340354008205738,-0.035056717616967374,-0.45630563763885407,-0.02360102671990189,0.02360102671990189,-0.3940007953584158,0.3940007953584158,0.6407079646017699,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9565964599179426,0.04340354008205738,0.006773482184317645,0.061582685079423015,-0.02318357764544482,,-0.14643942329873913,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,0.9565964599179426,0.04340354008205738,-0.0007771492322079509,-0.005756130879087492,-0.02318357764544482,,-0.14643942329873913,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,0.9565964599179426,0.04340354008205738,0.0029312686173855276,0.022171727476193278,-0.023065282223976667,,-0.14634394732169884,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,0.9565964599179426,0.04340354008205738,0.005223238507165246,0.050404622186666234,0.008991697301443233,,0.07090445796665777,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__volatility_bucket_zscore,liquidity,watch,0.9565964599179426,0.04340354008205738,0.012594819712663689,0.09660496450802637,0.006878834962310999,,0.044107539976024346,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,0.9565964599179426,0.04340354008205738,0.008304296365114884,0.16320580478812155,0.019043971796999883,,0.20069034686191298,,,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,0.9565964599179426,0.04340354008205738,0.005675255194932565,0.10530646371880105,0.0006251860798140104,,0.0069351374634436065,,,565,607830
