api,segment,row_count,data_sha256,cache_hit,cache_root
moneyflow,20100309,1706,b9d67fb86bfc60b142559ea201374a03024b5ba9134161d90873828bf6c772a9,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100310,1700,9541b2867e544163fcc96801b9c51f4e524d8d36182f149f99adc31d5c5a7004,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100310,1698,439147e8135c9b9042694f7d559fb682e70fe073b72cc4d40ce9fece467f134f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100311,1709,17550cda4aff80a9213041bd96e7d07e3dff9276403eaf33a18fd5c384dc481d,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100311,1707,5edf424c099966981dc613729106086a956ba9e050892945b1d009e0de2e972e,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100312,1700,9d985f4f5b8678b71c8293cc92809d225cc60075baaaaf0a6a9135eec71592b7,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100312,1698,b47ee4d6e0352d188b07e0dc54ac9795700717764ce60e1ce270d466162b830f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100315,1698,f733b7de03b5c03db9f10a70a867d5a0f8003a9b5007c798fb15985fd4c4587c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100315,1696,57dc5a1932cd887f9c9224c5c91e450f2c51e4d8b30b244815dc4d327f3571c1,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100316,1712,b70e78b74f15b0eccc818249642fd13fef49cef954365bc8b89df3891225d95b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100316,1710,1550383720dd8e029c32f290bdffa1881ee8d2148738d03c8730706a8c4e7a4b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100317,1705,65009dd427d15cf04eb23d0165c97bc3fd9c2542c2c4aa4e12dd9438d9f68f4e,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100317,1703,0d7eeb2154cff4cd056e314e3db8cb1c449a123e38913df752174317a05983a6,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100318,1697,bd1aa4e42656148d922a4d7bcb11abecf714a660b60fbd3721994812a65163f8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
