api,ts_code,offset,page_size,row_count,terminal,elapsed_seconds,status
income,002675.SZ,0,100,49,True,0.08044939999672351,pass
balancesheet,002675.SZ,0,100,62,True,0.0846203000000969,pass
cashflow,002675.SZ,0,100,47,True,0.0765973000015947,pass
income,002676.SZ,0,100,50,True,0.0842127999967488,pass
balancesheet,002676.SZ,0,100,62,True,0.0753469999981462,pass
cashflow,002676.SZ,0,100,47,True,0.0689660999996704,pass
income,002677.SZ,0,100,50,True,0.07338909999816678,pass
balancesheet,002677.SZ,0,100,62,True,0.07764769999994314,pass
cashflow,002677.SZ,0,100,45,True,0.0882344000019657,pass
income,002678.SZ,0,100,49,True,0.08260119999977178,pass
balancesheet,002678.SZ,0,100,59,True,0.09120460000121966,pass
cashflow,002678.SZ,0,100,44,True,0.0796766999992542,pass
income,002679.SZ,0,100,49,True,0.08305119999931776,pass
balancesheet,002679.SZ,0,100,59,True,0.11751670000012382,pass
cashflow,002679.SZ,0,100,46,True,0.0882034999995085,pass
income,002680.SZ,0,100,39,True,0.07657980000294629,pass
balancesheet,002680.SZ,0,100,51,True,0.08160249999855296,pass
cashflow,002680.SZ,0,100,38,True,0.06550250000145752,pass
income,002681.SZ,0,100,50,True,0.08261519999723532,pass
balancesheet,002681.SZ,0,100,61,True,0.07557269999961136,pass
