source_evidence,outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
remaining,split_003,lightgbm,split,alpha158_VMA60,22,56.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_VSTD5,23,14.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_VSUMD20,24,42.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_VSUMD60,25,72.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha360_VOLUME12,26,25.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha360_VOLUME38,27,52.0,diagnostic_only
remaining,split_003,lightgbm,split,amount_cv_20,28,139.0,diagnostic_only
remaining,split_003,lightgbm,split,amount_mean_20,29,431.0,diagnostic_only
remaining,split_003,lightgbm,split,corr_ret_amount_20,30,152.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha002,31,0.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha003,32,34.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha005,33,199.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha011,34,86.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha012,35,4.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha013,36,126.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha020,37,33.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha024,38,170.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha026,39,28.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha043,40,9.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha050,41,39.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha055,42,18.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha062,43,11.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha071,44,186.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha072,45,164.0,diagnostic_only
remaining,split_003,lightgbm,split,kunquant_alpha101_alpha094,46,138.0,diagnostic_only
remaining,split_003,lightgbm,split,ta_trend_adx_pos,47,330.0,diagnostic_only
remaining,split_003,lightgbm,split,ta_trend_dpo,48,41.0,diagnostic_only
remaining,split_003,lightgbm,split,ta_trend_mass_index,49,147.0,diagnostic_only
remaining,split_003,lightgbm,split,ta_volatility_bbhi,50,0.0,diagnostic_only
remaining,split_003,lightgbm,split,ta_volume_em,51,55.0,diagnostic_only
