datetime,factor,n_total,n_valid,coverage,corr_raw_residual,r2_approx,var_factor_z,var_residual_z
2021-03-10,ta_volatility_kch,500,120,0.24,0.4814921698156185,0.40038243420917774,1.8279797030773508,1.0960887398742711
2021-03-11,ta_volatility_kch,500,119,0.238,0.48957062526245204,0.385295836523353,1.7991608799826366,1.1059516836896348
2021-03-12,ta_volatility_kch,500,119,0.238,0.5331741318936777,0.31202560881880903,1.7907830150805433,1.2320128545376543
2021-03-15,ta_volatility_kch,500,119,0.238,0.5570051120056767,0.3237464052293224,1.7970174770923613,1.215239528749443
2021-03-16,ta_volatility_kch,500,119,0.238,0.5553998137086733,0.369781959940246,1.8052215451906877,1.1376831840837158
2021-03-17,ta_volatility_kch,500,119,0.238,0.515367259922857,0.36535558030012116,1.7962124715720609,1.1399562216785357
2021-03-18,ta_volatility_kch,500,119,0.238,0.5374407713438084,0.39584239298118196,1.784660001560511,1.0782159158849984
2021-03-19,ta_volatility_kch,500,119,0.238,0.5231778210070456,0.40419279119191454,1.7943540791165842,1.0690890954918546
2021-03-22,ta_volatility_kch,500,119,0.238,0.5394518280486789,0.3447923661185426,1.803407241312366,1.1816061915049618
2021-03-23,ta_volatility_kch,500,119,0.238,0.5336618984823177,0.3400422134930702,1.7968531566206856,1.1858472319213773
2021-03-24,ta_volatility_kch,500,119,0.238,0.5229176685099092,0.39463355253443655,1.7868739476315911,1.0817135337465036
2021-03-25,ta_volatility_kch,500,119,0.238,0.5034310955117278,0.3927074432862445,1.8057207234618569,1.0966007548621632
2021-03-26,ta_volatility_kch,500,119,0.238,0.49921321447079176,0.38548411507265445,1.832058236412008,1.125828888387157
2021-03-29,ta_volatility_kch,500,119,0.238,0.4762474058686459,0.44431955237385534,1.8467499042051025,1.0262028134222312
2021-03-30,ta_volatility_kch,500,119,0.238,0.4384640215052869,0.4749988548744808,1.8420318426091238,0.9670688267274602
2021-03-31,ta_volatility_kch,500,119,0.238,0.5021420310361229,0.3803265215310013,1.8233228925381182,1.129864839191252
2021-04-01,ta_volatility_kch,500,119,0.238,0.5173132124999451,0.37961090940200204,1.8117568375379887,1.1239941768248976
2021-04-02,ta_volatility_kch,500,119,0.238,0.5197626210389044,0.3823247975263012,1.8518462282872268,1.1438394940074683
2021-04-06,ta_volatility_kch,500,119,0.238,0.45869579767129004,0.48045988422670427,1.8700720065244612,0.9715774267741181
2021-04-07,ta_volatility_kch,500,119,0.238,0.5298807098315423,0.3793844225841828,1.8759137081573547,1.1642212691703235
2021-04-08,ta_volatility_kch,500,119,0.238,0.4899488514230896,0.40005643128682034,1.8586633119719869,1.1150931004207318
2021-04-09,ta_volatility_kch,500,119,0.238,0.501032701512273,0.3808041440302875,1.8518168310859415,1.14663730782338
2021-04-12,ta_volatility_kch,500,119,0.238,0.5024346268282687,0.39358778604646416,1.8547489049103165,1.1247423897545612
2021-04-13,ta_volatility_kch,500,119,0.238,0.48433842308856134,0.39967249204136157,1.8562302078607824,1.114346054882609
2021-04-14,ta_volatility_kch,500,119,0.238,0.4758050034123965,0.40801250603206607,1.8719459196048198,1.1081685737903568
2021-04-15,ta_volatility_kch,500,119,0.238,0.4521993854363601,0.4552521144845044,1.8675838519659975,1.0173623543813615
2021-04-16,ta_volatility_kch,500,119,0.238,0.5146680007578835,0.3706655621012074,1.8520987574509713,1.1655895304534594
2021-04-19,ta_volatility_kch,500,119,0.238,0.5212117694192875,0.35887959170942896,1.8409568292597593,1.180274994020332
2021-04-20,ta_volatility_kch,500,119,0.238,0.4981712247973692,0.37746862469987075,1.8510584918046316,1.1523419886641204
2021-04-21,ta_volatility_kch,500,119,0.238,0.5155842591747181,0.3897545129007718,1.8433387676703594,1.1248891641658896
2021-04-22,ta_volatility_kch,500,119,0.238,0.5309532962612604,0.38928490018900463,1.8151739960363888,1.1085541681636866
2021-04-23,ta_volatility_kch,500,119,0.238,0.5344922714415927,0.36716547519637477,1.7986752101981742,1.1382637719218223
