batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha360_006,alpha360_LOW25,1273,0.07838323933490249,0.16777796237686796,0,1991.0,24,2000,0.4671843561840123
alpha360_006,alpha360_LOW26,1273,0.07922494961316275,0.16870708686343444,0,1991.0,23,2000,0.4696006023581808
alpha360_006,alpha360_LOW27,1273,0.08002572019558801,0.16980582977135258,0,1991.0,23,2000,0.47127781362597776
alpha360_006,alpha360_LOW28,1273,0.08074538793103542,0.1708091817025056,0,1991.0,23,2000,0.47272276072177305
alpha360_006,alpha360_LOW29,1273,0.08129540558236265,0.1716828912052986,0,1991.0,23,2000,0.4735207160808441
alpha360_006,alpha360_LOW3,1273,0.03668459147564567,0.15240285308440796,0,1993.0,24,2000,0.24070803618963746
alpha360_006,alpha360_LOW30,1273,0.08144840008077386,0.17214044407150295,0,1991.0,24,2000,0.4731508653883929
alpha360_006,alpha360_LOW31,1273,0.08173921853999659,0.17276027342110842,0,1991.0,23,2000,0.4731366588009198
alpha360_006,alpha360_LOW32,1273,0.08213693612293156,0.17330106094190492,0,1991.0,23,2000,0.4739551834045957
alpha360_006,alpha360_LOW33,1273,0.08218894311327081,0.17368681751660553,0,1991.0,24,2000,0.47320196367472184
alpha360_006,alpha360_LOW34,1273,0.08241165251576878,0.1738522641561964,0,1991.0,23,2000,0.47403266742460476
alpha360_006,alpha360_LOW35,1273,0.0827783218899361,0.173676688217079,0,1991.0,23,2000,0.47662310203929753
alpha360_006,alpha360_LOW36,1273,0.08310128470542671,0.17359220803236994,0,1991.0,23,2000,0.47871552327930944
alpha360_007,alpha360_LOW37,1273,0.08309215067320683,0.17372168001178048,0,1991.0,23,2000,0.47830616574495566
alpha360_007,alpha360_LOW38,1273,0.0827922932860655,0.1735831904675946,0,1991.0,22,2000,0.4769603154720306
alpha360_007,alpha360_LOW39,1273,0.08194439424057487,0.1734858421035072,0,1991.0,22,2000,0.47234052788978725
alpha360_007,alpha360_LOW4,1273,0.038614532477077225,0.15268059468911102,0,1993.0,24,2000,0.2529105454147878
alpha360_007,alpha360_LOW40,1273,0.08108283845535241,0.17342407872958365,0,1991.0,23,2000,0.4675408342908547
alpha360_007,alpha360_LOW41,1273,0.08031368500532618,0.17332934970812144,0,1991.0,24,2000,0.4633588318456781
alpha360_007,alpha360_LOW42,1273,0.07971335851648663,0.17278230121462834,0,1991.0,23,2000,0.46135141132000285
alpha360_007,alpha360_LOW43,1273,0.07913817221841515,0.17240039721394787,0,1991.0,24,2000,0.45903706428358837
alpha360_007,alpha360_LOW44,1273,0.07834922176221208,0.1718082989209572,0,1991.0,24,2000,0.4560269920270716
alpha360_007,alpha360_LOW45,1273,0.07760256648429574,0.1712206491828278,0,1991.0,23,2000,0.4532313529627635
alpha360_007,alpha360_LOW46,1273,0.07688071467166888,0.17113625272033792,0,1991.0,24,2000,0.4492368709118774
alpha360_007,alpha360_LOW47,1273,0.07621179947938124,0.17105934629738126,0,1991.0,24,2000,0.4455284153073369
alpha360_007,alpha360_LOW48,1273,0.07552768110699434,0.1708322436009023,0,1991.0,23,2000,0.4421160754842151
alpha360_007,alpha360_LOW49,1273,0.07509201342145547,0.1701867897014369,0,1991.0,22,2000,0.44123291562871203
alpha360_007,alpha360_LOW5,1273,0.04068675751458935,0.15256920543930375,0,1992.0,25,2000,0.2666773900895464
alpha360_007,alpha360_LOW50,1273,0.07491592596710121,0.16953310687033202,0,1991.0,23,2000,0.4418955527335491
alpha360_007,alpha360_LOW51,1273,0.0745092156887783,0.1690261789327788,0,1991.0,23,2000,0.44081464870841336
alpha360_007,alpha360_LOW52,1273,0.0738589559711664,0.16871252123693442,0,1991.0,22,2000,0.43777993138660565
alpha360_007,alpha360_LOW53,1273,0.07312470277639721,0.16874740041316413,0,1991.0,21,2000,0.4333382475662285
alpha360_007,alpha360_LOW54,1273,0.07240962878768833,0.16892832851622233,0,1991.0,22,2000,0.4286411250480986
alpha360_007,alpha360_LOW55,1273,0.07149866450902731,0.16939842415486914,0,1991.0,22,2000,0.4220739647711308
alpha360_007,alpha360_LOW56,1273,0.07065396800612057,0.17020198586391339,0,1991.0,22,2000,0.4151183527471449
alpha360_007,alpha360_LOW57,1273,0.06990124433362083,0.17106708737536166,0,1991.0,22,2000,0.4086188956981594
alpha360_007,alpha360_LOW58,1273,0.06940046001391732,0.17181809426332326,0,1991.0,22,2000,0.40391822707308267
alpha360_007,alpha360_LOW59,1273,0.06915017706967781,0.17246611880365836,0,1991.0,25,2000,0.40094934326434784
alpha360_008,alpha360_LOW6,1273,0.04366036397560711,0.15194681301798105,0,1992.0,27,2000,0.28733978099587015
alpha360_008,alpha360_LOW7,1273,0.04631194204596136,0.1522053920235358,0,1992.0,27,2000,0.30427267674459296
alpha360_008,alpha360_LOW8,1273,0.049033882660414564,0.15305781209118388,0,1992.0,26,2000,0.3203618423031078
alpha360_008,alpha360_LOW9,1273,0.05145431984262742,0.15409427409588117,0,1992.0,26,2000,0.3339145477307697
alpha360_008,alpha360_OPEN0,1273,0.014102996901986787,0.14359628415285253,0,1994.0,21,2000,0.09821282622449136
alpha360_008,alpha360_OPEN1,1273,0.018418683126902563,0.14710370140152326,0,1993.0,24,2000,0.12520883534145957
alpha360_008,alpha360_OPEN10,1273,0.047384919027262336,0.15274870880552344,0,1992.0,26,2000,0.31021485810130056
alpha360_008,alpha360_OPEN11,1273,0.04991992347836751,0.15392796362821295,0,1992.0,24,2000,0.32430704793146403
alpha360_008,alpha360_OPEN12,1273,0.051780287549367844,0.15505323714723776,0,1992.0,23,2000,0.33395167042012514
alpha360_008,alpha360_OPEN13,1273,0.053928166338232754,0.15555809167556628,0,1992.0,23,2000,0.346675417249949
alpha360_008,alpha360_OPEN14,1273,0.05567269603541968,0.15658041828127958,0,1992.0,25,2000,0.3555533740841705
alpha360_008,alpha360_OPEN15,1273,0.057411300170038086,0.15767673359490944,0,1992.0,24,2000,0.364107619818753
alpha360_008,alpha360_OPEN16,1273,0.05891603507990978,0.15849906467552008,0,1991.5,27,2000,0.3717121940152954
