datetime,factor,top_count,turnover
2018-07-20,corr_ret_volume_20,370,0.18648648648648647
2018-07-23,corr_ret_volume_20,371,0.18108108108108112
2018-07-24,corr_ret_volume_20,371,0.21293800539083563
2018-07-25,corr_ret_volume_20,372,0.1671159029649596
2018-07-26,corr_ret_volume_20,373,0.1908602150537635
2018-07-27,corr_ret_volume_20,373,0.23592493297587136
2018-07-30,corr_ret_volume_20,375,0.21715817694369977
2018-07-31,corr_ret_volume_20,377,0.16800000000000004
2018-08-01,corr_ret_volume_20,377,0.17506631299734743
2018-08-02,corr_ret_volume_20,377,0.25994694960212206
2018-08-03,corr_ret_volume_20,378,0.17771883289124668
2018-08-06,corr_ret_volume_20,379,0.19841269841269837
2018-08-07,corr_ret_volume_20,379,0.2058047493403694
2018-08-08,corr_ret_volume_20,379,0.2137203166226913
2018-08-09,corr_ret_volume_20,379,0.20844327176781008
2018-08-10,corr_ret_volume_20,379,0.11609498680738783
2018-08-13,corr_ret_volume_20,379,0.10817941952506593
2018-08-14,corr_ret_volume_20,379,0.1029023746701847
2018-08-15,corr_ret_volume_20,380,0.10554089709762537
2018-08-16,corr_ret_volume_20,380,0.11315789473684212
2018-08-17,corr_ret_volume_20,380,0.1657894736842105
2018-08-20,corr_ret_volume_20,380,0.1842105263157895
2018-08-21,corr_ret_volume_20,380,0.21578947368421053
2018-08-22,corr_ret_volume_20,381,0.1289473684210526
2018-08-23,corr_ret_volume_20,380,0.1548556430446194
2018-08-24,corr_ret_volume_20,380,0.13157894736842102
2018-08-27,corr_ret_volume_20,381,0.19210526315789478
2018-08-28,corr_ret_volume_20,381,0.1076115485564304
2018-08-29,corr_ret_volume_20,381,0.12073490813648291
2018-08-30,corr_ret_volume_20,381,0.3359580052493438
2018-08-31,corr_ret_volume_20,381,0.13910761154855644
2018-09-03,corr_ret_volume_20,381,0.23884514435695536
2018-09-04,corr_ret_volume_20,382,0.23359580052493434
2018-09-05,corr_ret_volume_20,382,0.22513089005235598
2018-09-06,corr_ret_volume_20,382,0.19895287958115182
2018-09-07,corr_ret_volume_20,382,0.17539267015706805
2018-09-10,corr_ret_volume_20,382,0.20157068062827221
2018-09-11,corr_ret_volume_20,382,0.11780104712041883
2018-09-12,corr_ret_volume_20,382,0.16492146596858637
2018-09-13,corr_ret_volume_20,382,0.18586387434554974
2018-09-14,corr_ret_volume_20,383,0.2225130890052356
2018-09-17,corr_ret_volume_20,383,0.19582245430809397
2018-09-18,corr_ret_volume_20,383,0.18798955613577029
2018-09-19,corr_ret_volume_20,383,0.17754569190600522
2018-09-20,corr_ret_volume_20,383,0.1488250652741514
2018-09-21,corr_ret_volume_20,383,0.2010443864229765
2018-09-25,corr_ret_volume_20,383,0.164490861618799
2018-09-26,corr_ret_volume_20,384,0.10704960835509136
2018-09-27,corr_ret_volume_20,383,0.125
2018-09-28,corr_ret_volume_20,384,0.14099216710182771
2018-10-08,corr_ret_volume_20,384,0.26302083333333337
2018-10-09,corr_ret_volume_20,384,0.15364583333333337
2018-10-10,corr_ret_volume_20,384,0.12239583333333337
2018-10-11,corr_ret_volume_20,383,0.375
2018-10-12,corr_ret_volume_20,384,0.10182767624020883
2018-10-15,corr_ret_volume_20,383,0.09895833333333337
2018-10-16,corr_ret_volume_20,384,0.11488250652741516
2018-10-17,corr_ret_volume_20,384,0.12760416666666663
2018-10-18,corr_ret_volume_20,383,0.09895833333333337
2018-10-19,corr_ret_volume_20,383,0.14621409921671014
2018-10-22,corr_ret_volume_20,382,0.2845953002610966
2018-10-23,corr_ret_volume_20,383,0.11780104712041883
2018-10-24,corr_ret_volume_20,383,0.12793733681462138
2018-10-25,corr_ret_volume_20,383,0.11749347258485643
2018-10-26,corr_ret_volume_20,383,0.11749347258485643
2018-10-29,corr_ret_volume_20,383,0.15404699738903394
2018-10-30,corr_ret_volume_20,383,0.11488250652741516
2018-10-31,corr_ret_volume_20,382,0.14099216710182771
2018-11-01,corr_ret_volume_20,382,0.12827225130890052
2018-11-02,corr_ret_volume_20,382,0.17015706806282727
2018-11-05,corr_ret_volume_20,383,0.17277486910994766
2018-11-06,corr_ret_volume_20,384,0.13054830287206265
2018-11-07,corr_ret_volume_20,384,0.15104166666666663
2018-11-08,corr_ret_volume_20,384,0.4921875
2018-11-09,corr_ret_volume_20,384,0.265625
2018-11-12,corr_ret_volume_20,384,0.26302083333333337
2018-11-13,corr_ret_volume_20,384,0.30989583333333337
2018-11-14,corr_ret_volume_20,384,0.25
2018-11-15,corr_ret_volume_20,384,0.26041666666666663
2018-11-16,corr_ret_volume_20,384,0.2578125
2018-11-19,corr_ret_volume_20,384,0.40104166666666663
2018-11-20,corr_ret_volume_20,384,0.40364583333333337
2018-11-21,corr_ret_volume_20,383,0.15104166666666663
2018-11-22,corr_ret_volume_20,384,0.15404699738903394
2018-11-23,corr_ret_volume_20,384,0.26041666666666663
2018-11-26,corr_ret_volume_20,384,0.203125
2018-11-27,corr_ret_volume_20,385,0.14583333333333337
2018-11-28,corr_ret_volume_20,385,0.18701298701298696
2018-11-29,corr_ret_volume_20,385,0.21558441558441555
2018-11-30,corr_ret_volume_20,386,0.2753246753246753
2018-12-03,corr_ret_volume_20,386,0.24870466321243523
2018-12-04,corr_ret_volume_20,386,0.13471502590673579
2018-12-05,corr_ret_volume_20,386,0.11658031088082899
2018-12-06,corr_ret_volume_20,387,0.1658031088082902
2018-12-07,corr_ret_volume_20,388,0.11886304909560719
2018-12-10,corr_ret_volume_20,389,0.19329896907216493
2018-12-11,corr_ret_volume_20,389,0.21850899742930596
2018-12-12,corr_ret_volume_20,389,0.12339331619537275
2018-12-13,corr_ret_volume_20,390,0.15681233933161953
2018-12-14,corr_ret_volume_20,390,0.1512820512820513
2018-12-17,corr_ret_volume_20,390,0.11025641025641031
2018-12-18,corr_ret_volume_20,391,0.17692307692307696
2018-12-19,corr_ret_volume_20,391,0.12787723785166238
2018-12-20,corr_ret_volume_20,392,0.11764705882352944
2018-12-21,corr_ret_volume_20,392,0.3520408163265306
2018-12-24,corr_ret_volume_20,392,0.15306122448979587
2018-12-25,corr_ret_volume_20,392,0.14795918367346939
2018-12-26,corr_ret_volume_20,392,0.16326530612244894
2018-12-27,corr_ret_volume_20,392,0.2372448979591837
2018-12-28,corr_ret_volume_20,392,0.18112244897959184
2019-01-02,corr_ret_volume_20,393,0.36734693877551017
2019-01-03,corr_ret_volume_20,393,0.18575063613231557
2019-01-04,corr_ret_volume_20,393,0.2595419847328244
2019-01-07,corr_ret_volume_20,394,0.2620865139949109
2019-01-08,corr_ret_volume_20,394,0.15736040609137059
2019-01-09,corr_ret_volume_20,395,0.17766497461928932
2019-01-10,corr_ret_volume_20,394,0.1468354430379747
2019-01-11,corr_ret_volume_20,395,0.15228426395939088
2019-01-14,corr_ret_volume_20,395,0.1544303797468355
2019-01-15,corr_ret_volume_20,395,0.2708860759493671
2019-01-16,corr_ret_volume_20,395,0.18734177215189873
2019-01-17,corr_ret_volume_20,394,0.15189873417721522
2019-01-18,corr_ret_volume_20,394,0.2157360406091371
2019-01-21,corr_ret_volume_20,394,0.15482233502538068
2019-01-22,corr_ret_volume_20,394,0.17766497461928932
2019-01-23,corr_ret_volume_20,394,0.15736040609137059
2019-01-24,corr_ret_volume_20,394,0.21319796954314718
2019-01-25,corr_ret_volume_20,394,0.1624365482233503
2019-01-28,corr_ret_volume_20,394,0.17766497461928932
2019-01-29,corr_ret_volume_20,395,0.2208121827411168
2019-01-30,corr_ret_volume_20,396,0.19493670886075953
2019-01-31,corr_ret_volume_20,396,0.19696969696969702
2019-02-01,corr_ret_volume_20,395,0.2752525252525253
2019-02-11,corr_ret_volume_20,395,0.18481012658227847
2019-02-12,corr_ret_volume_20,395,0.15189873417721522
2019-02-13,corr_ret_volume_20,395,0.17974683544303793
2019-02-14,corr_ret_volume_20,396,0.1468354430379747
2019-02-15,corr_ret_volume_20,395,0.18686868686868685
2019-02-18,corr_ret_volume_20,395,0.2126582278481013
