outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha360_VOLUME28,1
split_001,split_001_inner_001,alpha360_VOLUME29,1
split_001,split_001_inner_001,alpha360_VOLUME3,1
split_001,split_001_inner_001,alpha360_VOLUME30,1
split_001,split_001_inner_001,alpha360_VOLUME31,1
split_001,split_001_inner_001,alpha360_VOLUME32,1
split_001,split_001_inner_001,alpha360_VOLUME33,1
split_001,split_001_inner_001,alpha360_VOLUME34,1
split_001,split_001_inner_001,alpha360_VOLUME35,1
split_001,split_001_inner_001,alpha360_VOLUME36,1
split_001,split_001_inner_001,alpha360_VOLUME37,1
split_001,split_001_inner_001,alpha360_VOLUME38,1
split_001,split_001_inner_001,alpha360_VOLUME39,1
split_001,split_001_inner_001,alpha360_VOLUME4,1
split_001,split_001_inner_001,alpha360_VOLUME40,1
split_001,split_001_inner_001,alpha360_VOLUME41,1
split_001,split_001_inner_001,alpha360_VOLUME42,1
split_001,split_001_inner_001,alpha360_VOLUME43,1
split_001,split_001_inner_001,alpha360_VOLUME44,1
split_001,split_001_inner_001,alpha360_VOLUME45,1
split_001,split_001_inner_001,alpha360_VOLUME46,1
split_001,split_001_inner_001,alpha360_VOLUME47,1
split_001,split_001_inner_001,alpha360_VOLUME48,1
split_001,split_001_inner_001,alpha360_VOLUME49,1
split_001,split_001_inner_001,alpha360_VOLUME5,1
split_001,split_001_inner_001,alpha360_VOLUME50,1
split_001,split_001_inner_001,alpha360_VOLUME51,1
split_001,split_001_inner_001,alpha360_VOLUME52,1
split_001,split_001_inner_001,alpha360_VOLUME53,1
split_001,split_001_inner_001,alpha360_VOLUME54,1
split_001,split_001_inner_001,alpha360_VOLUME55,1
split_001,split_001_inner_001,alpha360_VOLUME56,1
split_001,split_001_inner_001,alpha360_VOLUME57,1
split_001,split_001_inner_001,alpha360_VOLUME58,1
split_001,split_001_inner_001,alpha360_VOLUME59,1
split_001,split_001_inner_001,alpha360_VOLUME6,1
split_001,split_001_inner_001,alpha360_VOLUME7,1
split_001,split_001_inner_001,alpha360_VOLUME8,1
split_001,split_001_inner_001,alpha360_VOLUME9,1
split_001,split_001_inner_001,alpha360_VWAP0,1
split_001,split_001_inner_001,alpha360_VWAP1,1
split_001,split_001_inner_001,alpha360_VWAP10,1
split_001,split_001_inner_001,alpha360_VWAP11,1
split_001,split_001_inner_001,alpha360_VWAP12,1
split_001,split_001_inner_001,alpha360_VWAP13,1
split_001,split_001_inner_001,alpha360_VWAP14,1
split_001,split_001_inner_001,alpha360_VWAP15,1
split_001,split_001_inner_001,alpha360_VWAP16,1
split_001,split_001_inner_001,alpha360_VWAP17,1
split_001,split_001_inner_001,alpha360_VWAP18,1
split_001,split_001_inner_001,alpha360_VWAP19,1
split_001,split_001_inner_001,alpha360_VWAP2,1
split_001,split_001_inner_001,alpha360_VWAP20,1
split_001,split_001_inner_001,alpha360_VWAP21,1
split_001,split_001_inner_001,alpha360_VWAP22,1
split_001,split_001_inner_001,alpha360_VWAP23,1
split_001,split_001_inner_001,alpha360_VWAP24,1
split_001,split_001_inner_001,alpha360_VWAP25,1
split_001,split_001_inner_001,alpha360_VWAP26,1
split_001,split_001_inner_001,alpha360_VWAP27,1
split_001,split_001_inner_001,alpha360_VWAP28,1
split_001,split_001_inner_001,alpha360_VWAP29,1
split_001,split_001_inner_001,alpha360_VWAP3,1
split_001,split_001_inner_001,alpha360_VWAP30,1
split_001,split_001_inner_001,alpha360_VWAP31,1
split_001,split_001_inner_001,alpha360_VWAP32,1
split_001,split_001_inner_001,alpha360_VWAP33,1
split_001,split_001_inner_001,alpha360_VWAP34,1
split_001,split_001_inner_001,alpha360_VWAP35,1
split_001,split_001_inner_001,alpha360_VWAP36,1
split_001,split_001_inner_001,alpha360_VWAP37,1
split_001,split_001_inner_001,alpha360_VWAP38,1
split_001,split_001_inner_001,alpha360_VWAP39,1
split_001,split_001_inner_001,alpha360_VWAP4,1
split_001,split_001_inner_001,alpha360_VWAP40,1
split_001,split_001_inner_001,alpha360_VWAP41,1
split_001,split_001_inner_001,alpha360_VWAP42,1
split_001,split_001_inner_001,alpha360_VWAP43,1
split_001,split_001_inner_001,alpha360_VWAP44,1
split_001,split_001_inner_001,alpha360_VWAP45,1
split_001,split_001_inner_001,alpha360_VWAP46,1
split_001,split_001_inner_001,alpha360_VWAP47,1
split_001,split_001_inner_001,alpha360_VWAP48,1
split_001,split_001_inner_001,alpha360_VWAP49,1
split_001,split_001_inner_001,alpha360_VWAP5,1
split_001,split_001_inner_001,alpha360_VWAP50,1
split_001,split_001_inner_001,alpha360_VWAP51,1
split_001,split_001_inner_001,alpha360_VWAP52,1
split_001,split_001_inner_001,alpha360_VWAP53,1
split_001,split_001_inner_001,alpha360_VWAP54,1
split_001,split_001_inner_001,alpha360_VWAP55,1
split_001,split_001_inner_001,alpha360_VWAP56,1
