outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha360_LOW8,alpha158_BETA10,-0.9566100381070778
split_001,alpha360_LOW9,alpha158_BETA10,-0.9402832580546333
split_001,alpha360_OPEN0,alpha158_BETA10,-0.1674814778480665
split_001,alpha360_OPEN1,alpha158_BETA10,-0.295000808137015
split_001,alpha360_OPEN10,alpha158_BETA10,-0.8873590752446592
split_001,alpha360_OPEN11,alpha158_BETA10,-0.8483306944912395
split_001,alpha360_OPEN12,alpha158_BETA10,-0.816782580050461
split_001,alpha360_OPEN13,alpha158_BETA10,-0.7875152078520361
split_001,alpha360_OPEN14,alpha158_BETA10,-0.7555892927072269
split_001,alpha360_OPEN15,alpha158_BETA10,-0.7338222361245019
split_001,alpha360_OPEN16,alpha158_BETA10,-0.7108528914552712
split_001,alpha360_OPEN17,alpha158_BETA10,-0.6977926199802027
split_001,alpha360_OPEN18,alpha158_BETA10,-0.6841502754232802
split_001,alpha360_OPEN19,alpha158_BETA10,-0.6789639388624915
split_001,alpha360_OPEN2,alpha158_BETA10,-0.46186236582312173
split_001,alpha360_OPEN20,alpha158_BETA10,-0.6728806372247476
split_001,alpha360_OPEN21,alpha158_BETA10,-0.6668055375746187
split_001,alpha360_OPEN22,alpha158_BETA10,-0.6609084961066023
split_001,alpha360_OPEN23,alpha158_BETA10,-0.6578286229532891
split_001,alpha360_OPEN24,alpha158_BETA10,-0.6502359679672178
split_001,alpha360_OPEN25,alpha158_BETA10,-0.6371687810908269
split_001,alpha360_OPEN26,alpha158_BETA10,-0.6204836867559075
split_001,alpha360_OPEN27,alpha158_BETA10,-0.604944887199887
split_001,alpha360_OPEN28,alpha158_BETA10,-0.5873665803313657
split_001,alpha360_OPEN3,alpha158_BETA10,-0.6073961557337656
split_001,alpha360_OPEN34,alpha158_BETA10,-0.49215742562660103
split_001,alpha360_OPEN35,alpha158_BETA10,-0.48728517694448087
split_001,alpha360_OPEN36,alpha158_BETA10,-0.4777702548218172
split_001,alpha360_OPEN37,alpha158_BETA10,-0.47069719307076785
split_001,alpha360_OPEN38,alpha158_BETA10,-0.4633356411474956
split_001,alpha360_OPEN39,alpha158_BETA10,-0.4555250438042427
split_001,alpha360_OPEN4,alpha158_BETA10,-0.7344128864483062
split_001,alpha360_OPEN40,alpha158_BETA10,-0.44871945798263807
split_001,alpha360_OPEN41,alpha158_BETA10,-0.4427324894935487
split_001,alpha360_OPEN42,alpha158_BETA10,-0.4383022636145623
split_001,alpha360_OPEN43,alpha158_BETA10,-0.4343334933525035
split_001,alpha360_OPEN44,alpha158_BETA10,-0.4292169540980856
split_001,alpha360_OPEN45,alpha158_BETA10,-0.4227584517327771
split_001,alpha360_OPEN46,alpha158_BETA10,-0.4189811415933782
split_001,alpha360_OPEN47,alpha158_BETA10,-0.41157793643888463
split_001,alpha360_OPEN48,alpha158_BETA10,-0.40711184696699343
split_001,alpha360_OPEN49,alpha158_BETA10,-0.40541387470740214
split_001,alpha360_OPEN5,alpha158_BETA10,-0.8429045972140582
split_001,alpha360_OPEN50,alpha158_BETA10,-0.40696437201321
split_001,alpha360_OPEN51,alpha158_BETA10,-0.4071812422151478
split_001,alpha360_OPEN52,alpha158_BETA10,-0.40453942489056643
split_001,alpha360_OPEN53,alpha158_BETA10,-0.4059226927822241
split_001,alpha360_OPEN54,alpha158_BETA10,-0.40464808782452466
split_001,alpha360_OPEN55,alpha158_BETA10,-0.4026387616821365
split_001,alpha360_OPEN56,alpha158_BETA10,-0.4051568254877033
split_001,alpha360_OPEN57,alpha158_BETA10,-0.4085431474135729
split_001,alpha360_OPEN58,alpha158_BETA10,-0.41607048134141633
split_001,alpha360_OPEN59,alpha158_BETA10,-0.423448276416632
split_001,alpha360_OPEN6,alpha158_BETA10,-0.9179185017273761
split_001,alpha360_OPEN7,alpha158_BETA10,-0.9534094670771949
split_001,alpha360_OPEN8,alpha158_BETA10,-0.9585473958287264
split_001,alpha360_OPEN9,alpha158_BETA10,-0.923576667007076
split_001,alpha360_VOLUME13,alpha158_BETA10,-0.5048697559211783
split_001,alpha360_VOLUME14,alpha158_BETA10,-0.5174496750431475
split_001,alpha360_VOLUME15,alpha158_BETA10,-0.5126742955873038
