outer_split_id,factor,condition,bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days
split_002,alpha158_VMA60,liquidity_proxy,q2,0.05971080502840279,0.5209399462353099,0.7096774193548387,124
split_002,alpha158_VMA60,liquidity_proxy,q3,0.05694045164193146,0.4397942094388882,0.6451612903225806,124
split_002,alpha158_VSTD5,liquidity_proxy,q1,-0.031887420533455814,-0.4855678867835507,0.3467741935483871,124
split_002,alpha158_VSTD5,liquidity_proxy,q2,-0.017477447416086284,-0.273957025509863,0.3709677419354839,124
split_002,alpha158_VSTD5,liquidity_proxy,q3,0.0036378040156390696,0.045938467253491586,0.49193548387096775,124
split_002,alpha158_VSUMD20,liquidity_proxy,q1,-0.049110229394065966,-0.43465362429615145,0.3225806451612903,124
split_002,alpha158_VSUMD20,liquidity_proxy,q2,-0.052921654470357404,-0.478597174575947,0.3064516129032258,124
split_002,alpha158_VSUMD20,liquidity_proxy,q3,-0.06211830808192481,-0.5564621514085433,0.28225806451612906,124
split_002,alpha158_VSUMD60,liquidity_proxy,q1,-0.06373528022858152,-0.715907001660213,0.2661290322580645,124
split_002,alpha158_VSUMD60,liquidity_proxy,q2,-0.0638590879309983,-0.6503280576795304,0.25806451612903225,124
split_002,alpha158_VSUMD60,liquidity_proxy,q3,-0.05731101146390261,-0.4682896887738708,0.33064516129032256,124
split_002,alpha360_HIGH34,liquidity_proxy,q1,0.07977024789330471,0.4786632762016892,0.6854838709677419,124
split_002,alpha360_HIGH34,liquidity_proxy,q2,0.06988520738797084,0.4303281625508604,0.5806451612903226,124
split_002,alpha360_HIGH34,liquidity_proxy,q3,0.08674070967266367,0.430662909237316,0.6048387096774194,124
split_002,alpha360_LOW1,liquidity_proxy,q1,0.027672342949857025,0.1731931133321283,0.5645161290322581,124
split_002,alpha360_LOW1,liquidity_proxy,q2,0.04147785041431898,0.2768201511411754,0.6048387096774194,124
split_002,alpha360_LOW1,liquidity_proxy,q3,0.06472403896353554,0.399118659230425,0.6290322580645161,124
split_002,amount_cv_20,liquidity_proxy,q1,-0.04842157406407328,-0.5288624193571946,0.3225806451612903,124
split_002,amount_cv_20,liquidity_proxy,q2,-0.04494469015668683,-0.47129707439064933,0.33064516129032256,124
split_002,amount_cv_20,liquidity_proxy,q3,-0.03544792537295872,-0.35518727285535995,0.4274193548387097,124
split_002,kunquant_alpha101_alpha002,liquidity_proxy,q1,0.03269996962242741,0.43863517960430204,0.7258064516129032,124
split_002,kunquant_alpha101_alpha002,liquidity_proxy,q2,0.006101080172238854,0.09503681736716058,0.5403225806451613,124
split_002,kunquant_alpha101_alpha002,liquidity_proxy,q3,0.0058281630592084775,0.07291617843529,0.5241935483870968,124
split_002,kunquant_alpha101_alpha011,liquidity_proxy,q1,0.013121790736581637,0.13321779594211222,0.5483870967741935,124
split_002,kunquant_alpha101_alpha011,liquidity_proxy,q2,-0.00850205357505159,-0.08498732525931417,0.43548387096774194,124
split_002,kunquant_alpha101_alpha011,liquidity_proxy,q3,-0.020737841921030405,-0.23155943478891194,0.4032258064516129,124
split_002,kunquant_alpha101_alpha012,liquidity_proxy,q1,0.023220739041466883,0.32840796055943494,0.6209677419354839,124
split_002,kunquant_alpha101_alpha012,liquidity_proxy,q2,0.018150912362971755,0.26225957530816585,0.6612903225806451,124
split_002,kunquant_alpha101_alpha012,liquidity_proxy,q3,0.029326427189066,0.3570835974463788,0.6290322580645161,124
split_002,kunquant_alpha101_alpha013,liquidity_proxy,q1,0.05095400233756791,0.5479615565740212,0.6451612903225806,124
split_002,kunquant_alpha101_alpha013,liquidity_proxy,q2,0.05518613513854108,0.5966058830908071,0.7016129032258065,124
split_002,kunquant_alpha101_alpha013,liquidity_proxy,q3,0.07760066486436809,0.7457024879691555,0.7419354838709677,124
split_002,kunquant_alpha101_alpha020,liquidity_proxy,q1,0.005177655186226634,0.0577600037992005,0.49193548387096775,124
split_002,kunquant_alpha101_alpha020,liquidity_proxy,q2,0.00021123053153624158,0.0021122099696161203,0.49193548387096775,124
split_002,kunquant_alpha101_alpha020,liquidity_proxy,q3,-0.014674525555450558,-0.11261509468406186,0.4032258064516129,124
split_002,kunquant_alpha101_alpha026,liquidity_proxy,q1,0.03240074803591433,0.3257748234562832,0.5080645161290323,124
split_002,kunquant_alpha101_alpha026,liquidity_proxy,q2,0.03906230361280026,0.4647569214441614,0.5887096774193549,124
split_002,kunquant_alpha101_alpha026,liquidity_proxy,q3,0.052020069089027024,0.5364878586600561,0.6048387096774194,124
split_002,kunquant_alpha101_alpha029,liquidity_proxy,q1,0.008764860173449603,0.0712367006249087,0.5725806451612904,124
split_002,kunquant_alpha101_alpha029,liquidity_proxy,q2,0.006857288524255553,0.05844573014894694,0.5241935483870968,124
split_002,kunquant_alpha101_alpha029,liquidity_proxy,q3,0.008645765878876374,0.06861908310749303,0.5080645161290323,124
