factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
kunquant_alpha101_alpha083,split_003,True,True,True,eligible,selected,1,0.001776001776001776
kunquant_alpha101_alpha095,split_003,False,True,True,eligible,fdr_not_passed,-1,0.6854683777760702
ret_10,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ret_5,split_003,True,True,True,eligible,selected,-1,0.003196803196803197
rev_5,split_003,True,True,True,eligible,selected,1,0.003196803196803197
std_20,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ta_momentum_ppo_hist,split_003,False,True,True,eligible,fdr_not_passed,-1,0.09546009546009546
ta_momentum_rsi,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ta_momentum_tsi,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ta_trend_adx_pos,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ta_trend_ema_fast,split_003,True,True,True,eligible,selected,-1,0.00666000666000666
ta_trend_ichimoku_conv,split_003,True,True,True,eligible,selected,-1,0.00560842666105824
ta_trend_macd_diff,split_003,False,True,True,eligible,fdr_not_passed,-1,0.09342769906150188
ta_trend_psar_up_indicator,split_003,False,True,True,eligible,weak_validation_ic,-1,0.003196803196803197
ta_trend_vortex_ind_diff,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
ta_volatility_bbl,split_003,True,True,True,eligible,selected,-1,0.03697794742570862
ta_volatility_dcm,split_003,True,True,True,eligible,selected,-1,0.007860991467548845
ta_volatility_kcli,split_003,True,True,True,eligible,selected,1,0.00666000666000666
ta_volume_em,split_003,False,True,True,eligible,weak_validation_ic,-1,0.010312268376784506
ta_volume_sma_em,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
volume_ratio_5_20,split_003,True,True,True,eligible,selected,-1,0.016233766233766232
